Space group number,A,B,C,Alpha_90,Alpha,Beta_90,Beta,Gamma_90,Gamma,Z value,Molecular weight_category,S_L_category,M_L_category,S_M_category,S_category,Globularity_category,FrTPSA_category,Dipole moment_category,Refcode,SMILES,InChI string,Cell volume,Calculated density,Study temperature,Number of coordinates,Z prime,R factor,Unique chemical units,Multiplier sum,Molecular weight,S_L,M_L,S_M,S,Globularity,FrTPSA,Dipole moment,Space Group symbol,Publication year,Predicted density
4,7.87,6.79,8.64,True,90.0,False,98.02,True,90.0,2,1,3,2,6,4,5,4,3,ADRENL,C[NH2+]CC(O)c1ccc(O)c([O-])c1,"InChI=1S/C9H13NO3/c1-10-5-9(13)6-2-3-7(11)8(12)4-6/h2-4,9-13H,5H2,1H3/t9-/m0/s1",457.251,1.331,295,26,1.0,5.3,1,1,183.08954330000003,0.69239855,0.70583171,0.980968324,7.414412419,0.6147926920000001,0.330593554,2.293226244,P21,1975,1.34778
14,9.58,14.44,22.03,True,90.0,False,102.56,True,90.0,4,5,4,3,5,10,2,2,3,AHIHAC,COc1cc(ccc1CC1=CN(C)c2ccc(NC(=O)OC3CCCC3)cc12)C(=O)NS(=O)(=O)c1ccccc1C,"InChI=1S/C31H33N3O6S/c1-20-8-4-7-11-29(20)41(37,38)33-30(35)22-13-12-21(28(17-22)39-3)16-23-19-34(2)27-15-14-24(18-26(23)27)32-31(36)40-25-9-5-6-10-25/h4,7-8,11-15,17-19,25H,5-6,9-10,16H2,1-3H3,(H,32,36)(H,33,35)",2972.7790000000005,1.286,293,74,1.0,5.58,1,1,575.2090068,0.7254090590000001,0.813896009,0.8912797840000001,14.34501318,0.450074359,0.181155303,2.670151016,P21/c,2015,1.35218
14,7.89,13.07,10.48,True,90.0,False,92.7,True,90.0,4,2,4,2,6,4,5,3,3,AIPBAR,CC(C)C1(CC=C)C(=O)NC(=O)NC1=O,"InChI=1S/C10H14N2O3/c1-4-5-10(6(2)3)7(13)11-9(15)12-8(10)14/h4,6H,1,5H2,2-3H3,(H2,11,12,13,14,15)",1079.522,1.294,295,25,1.0,9.7,1,1,210.1004423,0.751464343,0.758288194,0.99100098,7.752446257000001,0.609247014,0.283924145,2.703905139,P21/n,1975,1.31709
19,5.21,15.75,17.18,True,90.0,True,90.0,True,90.0,4,3,4,4,4,5,5,2,4,AJEYAQ01,FC(F)(F)C1(OC(=O)Nc2ccc(Cl)cc12)C#CC1CC1,"InChI=1S/C14H9ClF3NO2/c15-9-3-4-11-10(7-9)13(14(16,17)18,21-12(20)19-11)6-5-8-1-2-8/h3-4,7-8H,1-2H2,(H,19,20)/t13-/m0/s1",1410.568,1.486,294,30,1.0,6.46,1,1,315.0273909,0.7427347259999999,0.97739737,0.759910706,8.409805324,0.600617129,0.122214951,3.634583672,P212121,2009,1.53609
14,8.16,9.81,27.76,True,90.0,False,94.36,True,90.0,4,4,1,2,1,4,3,2,5,AKENOU,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,"InChI=1S/C21H16ClF3N4O3/c1-26-19(30)18-11-15(8-9-27-18)32-14-5-2-12(3-6-14)28-20(31)29-13-4-7-17(22)16(10-13)21(23,24)25/h2-11H,1H3,(H,26,30)(H2,28,29,31)",2214.223,1.394,294,48,1.0,3.68,1,1,464.0863027,0.360228894,0.780880063,0.461311425,7.561765472,0.531230886,0.196976667,5.265491661,P21/c,2011,1.45744
4,9.7,8.81,10.13,True,90.0,False,92.25,True,90.0,2,3,4,4,4,6,3,4,2,AKOFUD,CCNC1CN(CCCOC)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O,"InChI=1S/C12H21N3O5S3/c1-3-14-10-8-15(5-4-6-20-2)23(18,19)12-9(10)7-11(21-12)22(13,16)17/h7,10,14H,3-6,8H2,1-2H3,(H2,13,16,17)/t10-/m0/s1",865.3560000000001,1.472,293,44,1.0,2.17,1,1,383.0643338,0.71666063,0.92774733,0.7724739340000001,9.650792755,0.525343334,0.387896526,1.948206331,P21,2016,1.44896
14,3.68,14.69,10.32,True,90.0,False,97.47,True,90.0,4,1,4,3,4,2,6,5,1,ALOPUR,O=C1NC=NC2=C1C=NN2,"InChI=1S/C5H4N4O/c10-5-3-1-8-9-4(3)6-2-7-5/h1-2H,(H2,6,7,8,9,10)",553.311,1.634,295,14,1.0,4.5,1,1,136.0385107,0.716086785,0.896534541,0.798727492,5.611043644,0.7638538029999999,0.517829587,0.490355649,P21/c,1972,1.63838
15,17.2,7.91,16.51,True,90.0,False,94.72,True,90.0,8,3,4,4,5,5,5,5,1,AMAVIT,NS(=O)(=O)c1cc(Cl)c(Cl)c(c1)S(N)(=O)=O,"InChI=1S/C6H6Cl2N2O4S2/c7-4-1-3(15(9,11)12)2-5(6(4)8)16(10,13)14/h1-2H,(H2,9,11,12)(H2,10,13,14)",2239.571,1.81,296,22,1.0,3.7,1,1,303.914604,0.789856606,0.976853186,0.808572483,8.420083063,0.642306024,0.519508077,0.6103781220000001,C2/c,2003,1.85752
4,7.7,14.6,10.44,True,90.0,False,95.74,True,90.0,2,4,5,4,6,8,3,2,2,AMAVOZ,CCC(=O)OC1(C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C)C(=O)CCl,"InChI=1S/C25H32ClFO5/c1-5-21(31)32-25(20(30)13-26)14(2)10-18-17-7-6-15-11-16(28)8-9-22(15,3)24(17,27)19(29)12-23(18,25)4/h8-9,11,14,17-19,29H,5-7,10,12-13H2,1-4H3/t14-,17-,18-,19-,22-,23-,24-,25-/m0/s1",1166.975,1.329,293,64,1.0,3.8,1,1,466.19223,0.871345962,0.965501355,0.90248031,11.88390875,0.507372335,0.152894237,1.710834905,P21,2003,1.33062
4,12.4,6.2,12.0,True,90.0,False,114.5,True,90.0,2,3,2,3,2,4,3,4,4,AMCILL,[NH3+]C(C(=O)NC1C2SC(C)(C)C(N2C1=O)C(=O)[O-])c1ccccc1,"InChI=1S/C16H19N3O4S/c1-16(2)11(15(22)23)19-13(21)10(14(19)24-16)18-12(20)9(17)8-6-4-3-5-7-8/h3-7,9-11,14H,17H2,1-2H3,(H,18,20)(H,22,23)/t9-,10-,11+,14-/m1/s1",839.4939999999998,1.382,295,43,1.0,10.6,1,1,349.1096271,0.5045155410000001,0.868892698,0.5806419389999999,7.3700842610000015,0.536294543,0.351171553,3.174555755,P21,1976,1.35501
