Space group number,A,B,C,Alpha_90,Alpha,Beta_90,Beta,Gamma_90,Gamma,Z value,Molecular weight_category,S_L_category,M_L_category,S_M_category,S_category,Globularity_category,FrTPSA_category,Dipole moment_category,Calculated volume,Calculated density
14,11.07,6.21,24.06,True,90.0,False,97.01,True,90.0,8,1,3,4,4,1,6,2,2,1641.63,1.538
2,6.7,6.36,10.13,False,89.1,False,76.16,False,104.66,2,1,3,4,3,4,6,3,2,404.14,1.562
19,8.33,8.36,12.33,True,90.0,True,90.0,True,90.0,4,1,3,4,3,3,6,4,2,858.65,1.47
61,10.46,7.04,22.41,True,90.0,True,90.0,True,90.0,8,1,3,3,5,1,6,1,2,1650.24,1.53
19,6.14,16.84,15.97,True,90.0,True,90.0,True,90.0,8,1,3,1,6,4,5,4,2,1651.26,1.529
19,8.64,10.74,8.85,True,90.0,True,90.0,True,90.0,4,1,3,4,4,2,6,3,2,821.22,1.537
4,13.2,8.49,8.21,True,90.0,False,111.18,True,90.0,4,1,3,4,4,3,5,3,2,857.93,1.471
33,8.82,12.15,7.68,True,90.0,True,90.0,True,90.0,4,1,3,3,5,2,5,3,2,823.01,1.534
2,6.07,8.28,17.21,False,86.77,False,86.47,False,78.19,4,1,3,2,4,3,6,5,2,844.2,1.495
14,13.32,5.9,20.83,True,90.0,False,95.64,True,90.0,8,1,3,4,5,4,4,2,2,1629.06,1.55
14,7.79,6.98,16.59,True,90.0,False,116.02,True,90.0,4,1,3,3,4,2,6,2,2,810.64,1.557
14,7.14,6.66,17.89,True,90.0,False,98.69,True,90.0,4,1,3,3,4,4,6,2,2,840.95,1.501
14,5.89,23.23,6.31,True,90.0,False,107.54,True,90.0,4,1,3,4,3,2,6,2,2,823.22,1.533
61,8.94,11.23,17.0,True,90.0,True,90.0,True,90.0,8,1,3,4,3,3,5,2,2,1706.74,1.479
2,9.56,11.55,16.98,False,88.43,False,93.15,False,65.2,8,1,3,4,4,1,6,2,2,1696.78,1.488
14,8.71,7.88,12.08,True,90.0,False,100.6,True,90.0,4,1,3,2,6,2,6,5,2,814.96,1.549
2,8.74,10.11,9.92,False,94.91,False,73.81,False,80.21,4,1,3,1,5,3,6,2,2,821.29,1.537
5,7.76,7.71,13.73,True,90.0,False,90.04,True,90.0,4,1,3,2,5,4,6,1,2,821.46,1.537
14,13.62,7.77,17.49,True,90.0,False,117.83,True,90.0,8,1,3,2,4,2,6,4,2,1636.84,1.542
2,7.86,8.36,13.91,False,107.76,False,96.24,False,102.49,4,1,3,3,4,3,5,4,2,834.73,1.512
14,11.45,8.67,9.09,True,90.0,False,115.22,True,90.0,4,1,3,2,5,3,4,2,2,816.36,1.546
61,7.14,11.39,20.29,True,90.0,True,90.0,True,90.0,8,1,3,4,3,2,5,4,2,1650.08,1.53
19,7.1,7.48,16.03,True,90.0,True,90.0,True,90.0,4,1,3,3,4,3,6,3,2,851.32,1.483
15,11.6,12.5,11.38,True,90.0,False,89.94,True,90.0,8,1,3,4,4,3,5,3,2,1650.1,1.53
14,9.57,9.3,9.61,True,90.0,False,77.18,True,90.0,4,1,3,4,4,3,6,3,2,833.98,1.514
2,7.3,8.53,7.51,False,65.78,False,72.15,False,87.86,2,1,3,3,4,5,5,2,2,403.84,1.563
14,11.61,6.12,11.55,True,90.0,False,97.59,True,90.0,4,1,3,4,3,2,6,2,2,813.47,1.552
14,7.56,8.52,14.09,True,90.0,False,115.92,True,90.0,4,1,3,3,4,4,5,3,2,816.26,1.547
2,13.46,7.97,16.47,False,80.31,False,80.68,False,77.73,8,1,3,4,3,3,6,2,2,1687.18,1.496
