Space group number,A,B,C,Alpha_90,Alpha,Beta_90,Beta,Gamma_90,Gamma,Z value,Molecular weight_category,S_L_category,M_L_category,S_M_category,S_category,Globularity_category,FrTPSA_category,Dipole moment_category,Calculated volume,Calculated density
61,7.63,11.35,23.02,True,90.0,True,90.0,True,90.0,8,2,3,2,4,4,4,2,3,1993.54,1.64
2,12.41,8.13,11.65,False,88.22,False,86.94,False,63.38,4,2,3,2,4,4,4,3,3,1049.28,1.558
4,7.61,4.69,29.48,True,90.0,False,92.51,True,90.0,4,2,3,3,5,5,5,3,3,1051.16,1.555
14,12.01,8.1,11.66,True,90.0,False,113.51,True,90.0,4,2,3,4,4,5,5,3,3,1040.14,1.571
14,8.01,5.83,22.35,True,90.0,False,98.44,True,90.0,4,2,3,2,6,6,3,2,3,1032.4,1.583
4,12.95,6.14,14.18,True,90.0,False,118.25,True,90.0,4,2,3,2,6,5,4,3,3,993.2,1.646
14,9.42,9.87,12.62,True,90.0,False,116.29,True,90.0,4,2,3,2,5,6,3,3,3,1051.98,1.554
14,11.78,6.9,13.68,True,90.0,False,114.66,True,90.0,4,2,3,2,6,5,4,2,3,1010.53,1.617
14,6.06,7.52,22.27,True,90.0,False,91.38,True,90.0,4,2,3,3,4,4,5,3,3,1014.58,1.611
14,7.45,9.92,14.16,True,90.0,False,100.08,True,90.0,4,2,3,2,5,4,5,2,3,1030.33,1.586
19,8.37,11.61,10.63,True,90.0,True,90.0,True,90.0,4,2,3,3,3,5,4,2,3,1032.98,1.582
61,6.11,13.31,25.38,True,90.0,True,90.0,True,90.0,8,2,3,3,4,3,4,4,3,2064.01,1.584
19,7.5,11.06,24.86,True,90.0,True,90.0,True,90.0,8,2,3,4,3,4,4,2,3,2062.14,1.585
2,7.27,8.37,20.65,False,80.81,False,107.79,False,66.92,4,2,3,3,5,5,4,2,3,1043.17,1.567
14,8.13,14.05,9.51,True,90.0,False,111.17,True,90.0,4,2,3,2,5,4,5,4,3,1012.98,1.613
15,12.48,7.81,20.47,True,90.0,False,95.14,True,90.0,8,2,3,4,3,3,5,2,3,1987.16,1.645
4,10.59,7.03,14.11,True,90.0,False,103.62,True,90.0,4,2,3,3,4,5,4,3,3,1020.92,1.601
2,9.26,10.34,12.07,False,107.26,False,104.86,False,100.73,4,2,3,3,3,5,4,2,3,1022.76,1.598
19,8.93,8.22,28.56,True,90.0,True,90.0,True,90.0,8,2,3,4,3,4,5,4,3,2096.44,1.559
14,6.69,7.13,21.91,True,90.0,False,96.65,True,90.0,4,2,3,3,5,6,6,2,3,1038.07,1.574
2,11.42,12.31,7.83,False,111.31,False,99.96,False,84.09,4,2,3,2,5,5,5,4,3,1009.06,1.62
14,8.22,15.13,8.47,True,90.0,False,100.5,True,90.0,4,2,3,4,4,6,3,2,3,1035.76,1.578
14,10.29,11.69,18.56,True,90.0,False,110.13,True,90.0,8,2,3,4,3,4,4,3,3,2096.21,1.559
4,6.84,10.92,14.12,True,90.0,False,99.17,True,90.0,4,2,3,1,5,5,5,4,3,1041.18,1.57
14,10.38,8.19,11.94,True,90.0,False,91.57,True,90.0,4,2,3,2,5,5,5,3,3,1014.66,1.611
33,12.95,5.71,28.48,True,90.0,True,90.0,True,90.0,8,2,3,2,5,4,4,2,3,2105.94,1.552
14,8.42,22.35,10.94,True,90.0,False,99.29,True,90.0,8,2,3,1,6,4,5,2,3,2031.76,1.609
2,7.42,7.6,10.23,False,111.76,False,92.3,False,100.08,2,2,3,3,4,4,5,2,3,524.02,1.559
14,6.05,10.65,16.48,True,90.0,False,100.43,True,90.0,4,2,3,3,4,4,5,4,3,1044.3,1.565
2,9.63,8.06,13.83,False,105.43,False,96.63,False,74.8,4,2,3,2,6,6,5,4,3,997.36,1.639
14,4.78,11.95,17.98,True,90.0,False,102.41,True,90.0,4,2,3,2,6,5,4,5,3,1003.04,1.629
4,9.07,16.0,7.26,True,90.0,False,104.04,True,90.0,4,2,3,2,5,5,3,3,3,1022.1,1.599
2,7.66,8.44,16.76,False,71.66,False,83.28,False,81.16,4,2,3,1,6,6,6,3,3,1013.56,1.613
61,7.3,12.39,22.24,True,90.0,True,90.0,True,90.0,8,2,3,2,5,4,4,2,3,2011.54,1.625
19,11.37,10.84,16.77,True,90.0,True,90.0,True,90.0,8,2,3,4,3,4,3,2,3,2066.92,1.581
2,10.95,10.94,12.33,False,115.06,False,113.94,False,105.38,4,2,3,1,6,5,4,2,3,1038.59,1.574
61,17.74,11.25,9.93,True,90.0,True,90.0,True,90.0,8,2,3,2,4,4,4,3,3,1981.78,1.649
14,11.05,7.74,12.27,True,90.0,False,98.73,True,90.0,4,2,3,2,6,4,5,2,3,1037.26,1.576
2,6.25,8.79,9.8,False,112.03,False,89.74,False,85.11,2,2,3,1,6,6,3,2,3,496.87,1.645
19,3.41,10.46,29.08,True,90.0,True,90.0,True,90.0,4,2,3,3,4,4,4,2,3,1037.24,1.576
61,9.28,13.14,17.1,True,90.0,True,90.0,True,90.0,8,2,3,3,5,5,3,1,3,2085.16,1.568
4,11.86,5.64,7.98,True,90.0,False,108.56,True,90.0,2,2,3,2,5,4,4,4,3,506.02,1.615
14,10.93,6.11,16.93,True,90.0,False,115.89,True,90.0,4,2,3,4,4,4,4,3,3,1017.15,1.607
2,11.09,8.75,11.72,False,100.06,False,104.55,False,106.62,4,2,3,2,5,5,4,3,3,1016.87,1.607
1,5.56,7.31,13.24,False,86.58,False,101.87,False,80.81,2,2,3,3,4,5,6,3,3,517.47,1.579
